               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033767,            0.040554,            0.014204,             0.89664,             0.95341,             0.97672,             0.72288,            0.023425,            0.014621,            0.008551,           0.0091337,           0.0091337,           0.0091337
                  37,            0.032727,             0.03963,            0.013301,             0.87684,             0.95892,             0.97077,             0.69053,            0.026479,            0.014831,           0.0080133,            0.009109,            0.009109,            0.009109
                  38,             0.03327,            0.039304,            0.012728,             0.92727,             0.97758,             0.98305,              0.6394,            0.026707,             0.01504,           0.0074809,           0.0090843,           0.0090843,           0.0090843
                  39,            0.032847,            0.039482,              0.0124,             0.94671,             0.97825,              0.9834,             0.72163,            0.022755,            0.014876,           0.0076562,           0.0090595,           0.0090595,           0.0090595
                  40,            0.033538,            0.040225,            0.012518,             0.95822,             0.99043,             0.98385,              0.6946,            0.025046,            0.015107,           0.0070986,           0.0090347,           0.0090347,           0.0090347
                  41,            0.031314,             0.03836,            0.011581,             0.93944,             0.99301,             0.98359,             0.70288,              0.0247,            0.014902,           0.0067206,             0.00901,             0.00901,             0.00901
                  42,            0.031733,            0.039734,            0.010801,             0.94729,             0.98817,             0.98359,              0.6857,            0.022295,            0.014393,           0.0063155,           0.0089853,           0.0089853,           0.0089853
                  43,            0.031564,            0.038935,            0.011299,             0.96842,             0.98715,             0.98498,             0.71574,            0.022701,            0.014968,           0.0063218,           0.0089605,           0.0089605,           0.0089605
                  44,            0.032784,            0.040056,            0.010623,             0.97057,             0.98607,             0.98573,             0.66002,            0.026138,            0.014721,            0.006068,           0.0089358,           0.0089358,           0.0089358
                  45,            0.031144,            0.038282,            0.010448,              0.9749,             0.98571,             0.98594,             0.72139,            0.022301,            0.014158,           0.0057383,            0.008911,            0.008911,            0.008911
                  46,            0.032222,            0.037747,            0.010512,             0.98147,             0.98896,             0.98463,             0.73523,            0.020952,             0.01401,           0.0055796,           0.0088863,           0.0088863,           0.0088863
                  47,             0.03184,            0.038958,           0.0096524,             0.97824,             0.99065,             0.98486,             0.74483,            0.022346,            0.014388,           0.0050596,           0.0088615,           0.0088615,           0.0088615
                  48,            0.031683,            0.038427,            0.010509,             0.97667,             0.98635,             0.98477,             0.74962,            0.021612,             0.01442,            0.005409,           0.0088368,           0.0088368,           0.0088368
                  49,            0.030543,            0.038784,            0.010299,              0.9486,             0.98476,             0.98127,             0.71041,            0.024542,             0.01458,           0.0055301,            0.008812,            0.008812,            0.008812
                  50,             0.03249,            0.039785,           0.0097251,             0.97923,             0.99301,             0.98575,             0.72823,            0.021198,            0.014121,           0.0049418,           0.0087872,           0.0087872,           0.0087872
                  51,            0.032335,            0.039052,           0.0096349,             0.98489,             0.99301,             0.98704,             0.75793,            0.021405,            0.014006,           0.0050755,           0.0087625,           0.0087625,           0.0087625
